127.0.0.1 - - [20/Oct/2023:21:34:46 +0200] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [20/Oct/2023:21:34:49 +0200] "GET /AucaStudentManagementSystem/index.html HTTP/1.1" 200 2657
0:0:0:0:0:0:0:1 - - [20/Oct/2023:21:34:52 +0200] "GET /AucaStudentManagementSystem/assets/css/main.css HTTP/1.1" 200 50518
0:0:0:0:0:0:0:1 - - [20/Oct/2023:21:34:52 +0200] "GET /AucaStudentManagementSystem/apj%20sir1.png HTTP/1.1" 200 16629
0:0:0:0:0:0:0:1 - - [20/Oct/2023:21:34:52 +0200] "GET /AucaStudentManagementSystem/dgi.png HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [20/Oct/2023:21:34:52 +0200] "GET /AucaStudentManagementSystem/assets/js/jquery.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [20/Oct/2023:21:34:52 +0200] "GET /AucaStudentManagementSystem/assets/js/util.js HTTP/1.1" 200 12433
0:0:0:0:0:0:0:1 - - [20/Oct/2023:21:34:52 +0200] "GET /AucaStudentManagementSystem/assets/js/skel.min.js HTTP/1.1" 200 9085
0:0:0:0:0:0:0:1 - - [20/Oct/2023:21:34:52 +0200] "GET /AucaStudentManagementSystem/assets/js/main.js HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [20/Oct/2023:21:34:52 +0200] "GET /AucaStudentManagementSystem/assets/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [20/Oct/2023:21:34:53 +0200] "GET /AucaStudentManagementSystem/images/home1.jpg HTTP/1.1" 200 742748
0:0:0:0:0:0:0:1 - - [20/Oct/2023:21:34:54 +0200] "GET /AucaStudentManagementSystem/assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [20/Oct/2023:21:34:54 +0200] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Oct/2023:22:11:57 +0200] "GET /AucaStudentManagementSystem/index.html HTTP/1.1" 200 2700
0:0:0:0:0:0:0:1 - - [20/Oct/2023:22:11:58 +0200] "GET /AucaStudentManagementSystem/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2023:22:11:58 +0200] "GET /AucaStudentManagementSystem/assets/js/skel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2023:22:11:58 +0200] "GET /AucaStudentManagementSystem/dgi.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2023:22:11:58 +0200] "GET /AucaStudentManagementSystem/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2023:22:11:58 +0200] "GET /AucaStudentManagementSystem/apj%20sir1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2023:22:11:58 +0200] "GET /AucaStudentManagementSystem/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2023:22:11:58 +0200] "GET /AucaStudentManagementSystem/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2023:22:11:58 +0200] "GET /AucaStudentManagementSystem/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2023:22:11:59 +0200] "GET /AucaStudentManagementSystem/images/home1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2023:22:11:59 +0200] "GET /AucaStudentManagementSystem/assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
